Country,Scenario,Year,Range,Variable,Technology,Unit,Value
US,High_Trans_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.140235817898648
US,High_Trans_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.001021763968399
US,High_Trans_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.015286667554465
US,High_Trans_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.110205140608264
US,High_Trans_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.005172969260101
US,Low_Demand_Growth,2050,Other,Curtailment fraction,NA,Dmnl,0.020280120754818
US,Low_Demand_Growth,2050,Other,Storage fraction,Batteries,Dmnl,0.096407152848478
US,Low_Demand_Growth,2050,Other,Storage fraction,PHS,Dmnl,0.006813980415923
US,Low_Demand_Growth_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.036972119900788
US,Low_Demand_Growth_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.098561677274667
US,Low_Demand_Growth_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.004176271689637
US,Low_Demand_Growth_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.034084786178287
US,Low_Demand_Growth_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.107003238272405
US,Low_Demand_Growth_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.00593110853333
US,Low_Demand_Growth_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.054782469770329
US,Low_Demand_Growth_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.117592417754761
US,Low_Demand_Growth_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.006086612523092
US,Low_Demand_Growth_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.032570250063519
US,Low_Demand_Growth_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.108872801472312
US,Low_Demand_Growth_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.007873764495123
US,Low_NG_Price,2050,Other,Curtailment fraction,NA,Dmnl,0.088396001826303
US,Low_NG_Price,2050,Other,Storage fraction,Batteries,Dmnl,0.186180243052768
US,Low_NG_Price,2050,Other,Storage fraction,PHS,Dmnl,0.006889154516291
US,Low_NG_Price_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.034553186717863
US,Low_NG_Price_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.147335343580777
US,Low_NG_Price_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.003901058031315
US,Low_NG_Price_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.138869369309745
US,Low_NG_Price_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.204059923229284
US,Low_NG_Price_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.004390444460226
US,Low_NG_Price_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.183488168687684
US,Low_NG_Price_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.199187653701207
US,Low_NG_Price_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.003243436222482
US,Low_NG_Price_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.08605855130361
US,Low_NG_Price_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.185133404872583
US,Low_NG_Price_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.005744050113906
US,Low_Nuclear_CCS_Cost,2050,Other,Curtailment fraction,NA,Dmnl,0.01666159313166
US,Low_Nuclear_CCS_Cost,2050,Other,Storage fraction,Batteries,Dmnl,0.115598047736815
US,Low_Nuclear_CCS_Cost,2050,Other,Storage fraction,PHS,Dmnl,0.009539531555172
US,Low_Nuclear_CCS_Cost_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.025771243143262
US,Low_Nuclear_CCS_Cost_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.153281824291653
US,Low_Nuclear_CCS_Cost_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.003178392970549
US,Low_Nuclear_CCS_Cost_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.021018432352433
US,Low_Nuclear_CCS_Cost_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.12864081015359
US,Low_Nuclear_CCS_Cost_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.006745824610593
US,Low_Nuclear_CCS_Cost_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.065486153732126
